epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
75,4347.82,0.93128,0.39254,0.9931,0.98332,0.94989,0.9787,0.72722,1.03818,0.3609,1.02928,0.002674,0.002674,0.002674
76,4406,0.92822,0.39435,0.9964,0.97718,0.9549,0.97857,0.72685,1.0339,0.35812,1.02876,0.002575,0.002575,0.002575
77,4464.15,0.91896,0.38506,0.99155,0.98141,0.95535,0.97901,0.72726,1.03431,0.35773,1.02952,0.002476,0.002476,0.002476
78,4522.25,0.91554,0.3864,0.99034,0.98179,0.95778,0.97934,0.7264,1.0371,0.35633,1.02927,0.002377,0.002377,0.002377
79,4580.31,0.91054,0.3827,0.98763,0.98132,0.95721,0.97927,0.72784,1.03606,0.3551,1.02916,0.002278,0.002278,0.002278
80,4638.57,0.90722,0.38052,0.98672,0.98161,0.9549,0.97753,0.7267,1.03954,0.35777,1.03201,0.002179,0.002179,0.002179
81,4696.6,0.91232,0.38183,0.9894,0.98213,0.95143,0.97879,0.72783,1.04008,0.36055,1.03438,0.00208,0.00208,0.00208
82,4754.73,0.90666,0.37782,0.98867,0.98074,0.95127,0.97729,0.72541,1.04145,0.35983,1.03535,0.001981,0.001981,0.001981
83,4812.89,0.89569,0.37227,0.98519,0.98304,0.95083,0.97738,0.72651,1.0421,0.35901,1.03472,0.001882,0.001882,0.001882
84,4871.08,0.89027,0.3738,0.97966,0.98349,0.94973,0.97667,0.72693,1.04181,0.35983,1.03297,0.001783,0.001783,0.001783
85,4929.29,0.88307,0.36779,0.98094,0.98033,0.95346,0.97679,0.72774,1.04273,0.36052,1.03336,0.001684,0.001684,0.001684
86,4987.29,0.88708,0.36982,0.98071,0.9818,0.95171,0.97827,0.72714,1.04646,0.35957,1.03401,0.001585,0.001585,0.001585
87,5045.36,0.88958,0.36897,0.98025,0.98669,0.94715,0.97756,0.72421,1.04658,0.35865,1.03319,0.001486,0.001486,0.001486
88,5103.45,0.88173,0.36316,0.97616,0.9794,0.95318,0.97722,0.72387,1.04447,0.35892,1.03257,0.001387,0.001387,0.001387
89,5161.49,0.8777,0.35933,0.97636,0.98182,0.95399,0.9769,0.72252,1.04556,0.35743,1.0328,0.001288,0.001288,0.001288
90,5219.59,0.87924,0.35862,0.97584,0.98217,0.95342,0.97801,0.72234,1.04574,0.35766,1.0331,0.001189,0.001189,0.001189
91,5288.93,0.86635,0.32977,0.97637,0.97988,0.954,0.97731,0.72317,1.04377,0.35779,1.0336,0.00109,0.00109,0.00109
92,5347.15,0.8551,0.32394,0.97472,0.98393,0.94838,0.97654,0.72412,1.04232,0.35742,1.03264,0.000991,0.000991,0.000991
93,5405.14,0.84899,0.31971,0.96835,0.98162,0.94885,0.97636,0.72613,1.04235,0.35759,1.03197,0.000892,0.000892,0.000892
94,5462.84,0.84178,0.31868,0.96918,0.98087,0.95034,0.97611,0.72638,1.04217,0.35748,1.03084,0.000793,0.000793,0.000793
95,5520.61,0.83854,0.31617,0.96824,0.98116,0.94893,0.97564,0.72486,1.04273,0.35848,1.03127,0.000694,0.000694,0.000694
96,5578.36,0.83024,0.31141,0.96055,0.98069,0.94853,0.97683,0.72488,1.04294,0.35982,1.03142,0.000595,0.000595,0.000595
97,5636.13,0.82698,0.31073,0.96183,0.98527,0.94624,0.9757,0.72417,1.04354,0.3605,1.03159,0.000496,0.000496,0.000496
98,5693.84,0.81891,0.30774,0.96198,0.98272,0.95171,0.97712,0.72428,1.0443,0.3598,1.03218,0.000397,0.000397,0.000397
99,5751.5,0.81754,0.30421,0.96037,0.98316,0.9508,0.97737,0.72304,1.04498,0.36083,1.03272,0.000298,0.000298,0.000298
100,5809.31,0.81576,0.30441,0.96122,0.98438,0.94989,0.97662,0.72406,1.04547,0.36187,1.03349,0.000199,0.000199,0.000199
